,id,text,created_at,favorite_count,retweet_count
108,781998738290212864,"When Ruline was born, women couldn't vote. Yesterday, at 103, she voted for Hillary. Make sure you're registered:… https://t.co/g0kaoMPwNr",Fri Sep 30 23:26:42 +0000 2016,17802.0,5804.0
109,781989690660556800,RT @BernieSanders: It's pretty telling that Donald Trump thinks the problem with his sexist tweets is the time that they were sent. https:/…,Fri Sep 30 22:50:45 +0000 2016,0.0,18258.0
110,781980213865484288,".@BillClinton on pre-debate jitters (his) and Hillary's favorite TV shows, now playing on With Her:… https://t.co/hdqLVyUNBz",Fri Sep 30 22:13:06 +0000 2016,2569.0,690.0
111,781973124921303040,"RT @AppleMusic: Get #The411 now.
@MaryJBlige &amp; @HillaryClinton speak candidly. 
Watch here:
https://t.co/hbaWqf27NP https://t.co/Q5mU7SowdQ",Fri Sep 30 21:44:55 +0000 2016,0.0,1030.0
112,781967242317684737,Make sure @realDonaldTrump's bullying never reaches the White House. Chip in now: https://t.co/P865AbPdAz https://t.co/cjNoBiagTA,Fri Sep 30 21:21:33 +0000 2016,6474.0,2840.0
113,781962308130074626,RT @SunSentinel: .@SunSentinelOpinion has endorsed @HillaryClinton to serve as the next president of the United States: https://t.co/q3EPcO…,Fri Sep 30 21:01:57 +0000 2016,0.0,1111.0
114,781959494112841728,RT @jmpalmieri: @realDonaldTrump's problem isn't that he couldn't be heard on Monday night. His problem is we all heard him quite clearly.,Fri Sep 30 20:50:46 +0000 2016,0.0,3255.0
115,781952387942678528,"RT @Hillary_esp: A Trump ""le resulta más fácil insultar a mujeres que hablar con el presidente de México sobre construir la muralla"" —Hilla…",Fri Sep 30 20:22:31 +0000 2016,0.0,991.0
116,781950603366952960,A man who can be provoked by a tweet should not be anywhere near the nuclear codes.,Fri Sep 30 20:15:26 +0000 2016,8707.0,3423.0
117,781950435682816000,"""Who gets up at 3 o'clock in the morning to engage in a Twitter attack against a former Miss Universe?” —Hillary",Fri Sep 30 20:14:46 +0000 2016,6949.0,2363.0
118,781950260516122625,"""His latest Twitter meltdown is unhinged, even for him.” —Hillary on Trump",Fri Sep 30 20:14:04 +0000 2016,3137.0,1094.0
119,781950085437526021,"Trump ""finds it a lot easier to insult women than to talk to the president of Mexico about building a wall.” —Hillary",Fri Sep 30 20:13:22 +0000 2016,3138.0,1240.0
120,781949300754571264,"""My view is we are already great, and if we work together, we will become even greater in the years ahead.” —Hillary in Florida",Fri Sep 30 20:10:15 +0000 2016,9033.0,2490.0
121,781933860955107328,"Meet Hillary's lifelong friend, Betsy. https://t.co/KVEICHVuRL",Fri Sep 30 19:08:54 +0000 2016,6236.0,2224.0
122,781924803099918336,"RT @TheDemocrats: Warning: This video contains offensive language, inappropriate behavior, and blatant misogyny. 
Voter discretion is advis…",Fri Sep 30 18:32:55 +0000 2016,0.0,5702.0
123,781917990463868929,"Trump admits he ""can't say"" he treats women with respect. https://t.co/eaOpDVixJD",Fri Sep 30 18:05:50 +0000 2016,6881.0,4166.0
124,781914938394771456,RT @sdutIdeas: This paper has not endorsed a Democrat for president in its 148-year history. Until now. Here's why: https://t.co/jkBTMIH3eQ…,Fri Sep 30 17:53:43 +0000 2016,0.0,2742.0
125,781913367472726017,RT @CNNPolitics: A vote 103 years in the making: Ruline Steininger is one of the first in Iowa to vote in person for Hillary Clinton https:…,Fri Sep 30 17:47:28 +0000 2016,0.0,2326.0
